Draw,Date,Pick3,Pick4,Date_Delta
1,2012-03-12,121,6996,801.0
1,2012-03-13,139,7846,802.0
0,2012-03-13,236,2709,802.0
0,2012-03-13,236,2709,802.0
1,2012-03-13,139,7846,802.0
0,2012-03-14,770,666,803.0
0,2012-03-14,770,666,803.0
1,2012-03-14,841,5166,803.0
1,2012-03-14,841,5166,803.0
1,2012-03-15,386,5741,804.0
0,2012-03-15,196,6828,804.0
1,2012-03-15,386,5741,804.0
0,2012-03-15,196,6828,804.0
0,2012-03-16,973,4353,805.0
1,2012-03-16,147,3187,805.0
0,2012-03-16,973,4353,805.0
1,2012-03-16,147,3187,805.0
1,2012-03-17,332,9523,806.0
0,2012-03-17,212,4582,806.0
0,2012-03-17,212,4582,806.0
1,2012-03-17,332,9523,806.0
1,2012-03-18,996,1940,807.0
0,2012-03-18,926,8897,807.0
1,2012-03-18,996,1940,807.0
0,2012-03-18,926,8897,807.0
0,2012-03-19,797,5972,808.0
1,2012-03-19,866,9305,808.0
1,2012-03-19,866,9305,808.0
0,2012-03-19,797,5972,808.0
1,2012-03-20,467,3387,809.0
0,2012-03-20,272,8638,809.0
1,2012-03-20,467,3387,809.0
0,2012-03-20,272,8638,809.0
1,2012-03-21,28,2723,810.0
0,2012-03-21,430,3846,810.0
0,2012-03-21,430,3846,810.0
1,2012-03-21,28,2723,810.0
0,2012-03-22,347,4984,811.0
0,2012-03-22,347,4984,811.0
1,2012-03-22,463,440,811.0
1,2012-03-22,463,440,811.0
1,2012-03-23,927,1296,812.0
0,2012-03-23,694,4736,812.0
1,2012-03-23,927,1296,812.0
0,2012-03-23,694,4736,812.0
0,2012-03-24,317,6594,813.0
1,2012-03-24,142,1431,813.0
0,2012-03-24,317,6594,813.0
1,2012-03-24,142,1431,813.0
0,2012-03-25,315,5607,814.0
1,2012-03-25,492,6200,814.0
0,2012-03-25,315,5607,814.0
1,2012-03-25,492,6200,814.0
0,2012-03-26,71,4336,815.0
1,2012-03-26,100,328,815.0
1,2012-03-26,100,328,815.0
0,2012-03-26,71,4336,815.0
0,2012-03-27,437,9530,816.0
0,2012-03-27,437,9530,816.0
1,2012-03-27,446,4072,816.0
1,2012-03-27,446,4072,816.0
1,2012-03-28,856,1998,817.0
0,2012-03-28,869,9872,817.0
1,2012-03-28,856,1998,817.0
0,2012-03-28,869,9872,817.0
0,2012-03-29,951,1372,818.0
1,2012-03-29,883,297,818.0
1,2012-03-29,883,297,818.0
0,2012-03-29,951,1372,818.0
0,2012-03-30,22,2448,819.0
1,2012-03-30,377,2482,819.0
1,2012-03-30,377,2482,819.0
0,2012-03-30,22,2448,819.0
1,2012-03-31,730,7029,820.0
0,2012-03-31,669,8657,820.0
0,2012-03-31,669,8657,820.0
1,2012-03-31,730,7029,820.0
1,2012-04-01,620,7972,821.0
0,2012-04-01,627,4093,821.0
0,2012-04-01,627,4093,821.0
1,2012-04-01,620,7972,821.0
1,2012-04-02,38,6353,822.0
0,2012-04-02,664,5272,822.0
0,2012-04-02,664,5272,822.0
1,2012-04-02,38,6353,822.0
1,2012-04-03,543,1361,823.0
0,2012-04-03,91,5405,823.0
0,2012-04-03,91,5405,823.0
1,2012-04-03,543,1361,823.0
0,2012-04-04,29,2213,824.0
1,2012-04-04,123,3911,824.0
0,2012-04-04,29,2213,824.0
1,2012-04-04,123,3911,824.0
1,2012-04-05,398,8330,825.0
0,2012-04-05,832,4570,825.0
0,2012-04-05,832,4570,825.0
1,2012-04-05,398,8330,825.0
1,2012-04-06,664,1627,826.0
0,2012-04-06,929,208,826.0
1,2012-04-06,664,1627,826.0
0,2012-04-06,929,208,826.0
1,2012-04-07,754,3450,827.0
1,2012-04-07,754,3450,827.0
0,2012-04-07,573,7199,827.0
0,2012-04-07,573,7199,827.0
1,2012-04-08,940,5435,828.0
0,2012-04-08,735,1810,828.0
1,2012-04-08,940,5435,828.0
0,2012-04-08,735,1810,828.0
1,2012-04-09,157,9170,829.0
0,2012-04-09,168,2694,829.0
1,2012-04-09,157,9170,829.0
0,2012-04-09,168,2694,829.0
1,2012-04-10,560,5409,830.0
0,2012-04-10,693,6535,830.0
0,2012-04-10,693,6535,830.0
1,2012-04-10,560,5409,830.0
1,2012-04-11,982,5935,831.0
0,2012-04-11,305,9432,831.0
0,2012-04-11,305,9432,831.0
1,2012-04-11,982,5935,831.0
0,2012-04-12,166,7835,832.0
0,2012-04-12,166,7835,832.0
1,2012-04-12,528,1362,832.0
1,2012-04-12,528,1362,832.0
0,2012-04-13,268,9474,833.0
0,2012-04-13,268,9474,833.0
1,2012-04-13,437,822,833.0
1,2012-04-13,437,822,833.0
0,2012-04-14,456,1003,834.0
1,2012-04-14,684,9945,834.0
0,2012-04-14,456,1003,834.0
1,2012-04-14,684,9945,834.0
0,2012-04-15,437,8550,835.0
1,2012-04-15,746,2409,835.0
1,2012-04-15,746,2409,835.0
0,2012-04-15,437,8550,835.0
0,2012-04-16,18,5170,836.0
1,2012-04-16,844,5160,836.0
0,2012-04-16,18,5170,836.0
1,2012-04-16,844,5160,836.0
0,2012-04-17,776,1511,837.0
0,2012-04-17,776,1511,837.0
1,2012-04-17,354,6482,837.0
1,2012-04-17,354,6482,837.0
1,2012-04-18,975,7023,838.0
0,2012-04-18,992,2864,838.0
1,2012-04-18,975,7023,838.0
0,2012-04-18,992,2864,838.0
0,2012-04-19,112,7210,839.0
1,2012-04-19,998,5686,839.0
1,2012-04-19,998,5686,839.0
0,2012-04-19,112,7210,839.0
