Day - Draw, Date, Pick 3, Pick 4
TUE - EVE, 9/4/2012,468,6413
WED - MID, 9/5/2012,835,9581
WED - EVE, 9/5/2012,433,7598
THU - MID, 9/6/2012,54,7206
THU - EVE, 9/6/2012,351,4670
FRI - MID, 9/7/2012,839,7661
FRI - EVE, 9/7/2012,1,2223
SAT - MID, 9/8/2012,617,2367
SAT - EVE, 9/8/2012,45,4442
SUN - MID, 9/9/2012,44,4094
SUN - EVE, 9/9/2012,590,5125
MON - MID, 9/10/2012,200,2152
MON - EVE, 9/10/2012,25,1989
TUE - MID, 9/11/2012,775,4898
TUE - EVE, 9/11/2012,388,3112
WED - MID, 9/12/2012,574,8073
WED - EVE, 9/12/2012,137,1565
THU - MID, 9/13/2012,420,9851
THU - EVE, 9/13/2012,791,5523
FRI - MID, 9/14/2012,512,7292
FRI - EVE, 9/14/2012,198,8623
SAT - MID, 9/15/2012,488,5523
SAT - EVE, 9/15/2012,296,5515
SUN - MID, 9/16/2012,30,5229
SUN - EVE, 9/16/2012,660,3740
MON - MID, 9/17/2012,953,9977
MON - EVE, 9/17/2012,29,9881
TUE - MID, 9/18/2012,477,9710
TUE - EVE, 9/18/2012,24,3705
WED - MID, 9/19/2012,747,4729
WED - EVE, 9/19/2012,513,304
THU - MID, 9/20/2012,623,5258
THU - EVE, 9/20/2012,443,5898
FRI - MID, 9/21/2012,690,6105
FRI - EVE, 9/21/2012,230,8766
SAT - MID, 9/22/2012,553,9798
SAT - EVE, 9/22/2012,252,789
SUN - MID, 9/23/2012,724,8555
SUN - EVE, 9/23/2012,11,5051
MON - MID, 9/24/2012,280,5910
MON - EVE, 9/24/2012,181,9967
TUE - MID, 9/25/2012,943,6388
TUE - EVE, 9/25/2012,9,1211
WED - MID, 9/26/2012,799,7246
WED - EVE, 9/26/2012,11,4783
THU - MID, 9/27/2012,609,185
THU - EVE, 9/27/2012,553,4615
FRI - MID, 9/28/2012,128,1541
FRI - EVE, 9/28/2012,628,9733
SAT - MID, 9/29/2012,605,2364
SAT - EVE, 9/29/2012,421,1514
SUN - MID, 9/30/2012,912,2633
SUN - EVE, 9/30/2012,677,5709
MON - MID, 10/1/2012,21,6893
MON - EVE, 10/1/2012,352,7574
TUE - MID, 10/2/2012,286,2829
TUE - EVE, 10/2/2012,122,5344
WED - MID, 10/3/2012,651,9803
WED - EVE, 10/3/2012,661,5963
THU - MID, 10/4/2012,706,7484
THU - EVE, 10/4/2012,151,1925
FRI - MID, 10/5/2012,826,5954
FRI - EVE, 10/5/2012,248,4116
SAT - MID, 10/6/2012,544,3321
SAT - EVE, 10/6/2012,485,4759
SUN - MID, 10/7/2012,276,801
SUN - EVE, 10/7/2012,250,6624
MON - MID, 10/8/2012,952,2344
MON - EVE, 10/8/2012,861,1718
TUE - MID, 10/9/2012,716,3977
TUE - EVE, 10/9/2012,559,2692
WED - MID, 10/10/2012,667,7892
WED - EVE, 10/10/2012,945,432
THU - MID, 10/11/2012,264,5707
THU - EVE, 10/11/2012,491,1395
FRI - MID, 10/12/2012,678,2797
FRI - EVE, 10/12/2012,870,6257
SAT - MID, 10/13/2012,340,8945
SAT - EVE, 10/13/2012,547,2615
SUN - MID, 10/14/2012,541,3409
SUN - EVE, 10/14/2012,395,5689
MON - MID, 10/15/2012,365,8794
MON - EVE, 10/15/2012,803,9358
TUE - MID, 10/16/2012,995,9233
TUE - EVE, 10/16/2012,816,8627
WED - MID, 10/17/2012,649,5107
WED - EVE, 10/17/2012,102,5674
THU - MID, 10/18/2012,746,4855
THU - EVE, 10/18/2012,847,3185
FRI - MID, 10/19/2012,924,4303
FRI - EVE, 10/19/2012,512,5223
SAT - MID, 10/20/2012,442,1339
SAT - EVE, 10/20/2012,997,201
SUN - MID, 10/21/2012,984,2666
SUN - EVE, 10/21/2012,866,8133
MON - MID, 10/22/2012,727,5961
MON - EVE, 10/22/2012,994,2069
TUE - MID, 10/23/2012,965,2784
TUE - EVE, 10/23/2012,636,7889
WED - MID, 10/24/2012,621,1109
WED - EVE, 10/24/2012,167,3486
THU - MID, 10/25/2012,103,34
THU - EVE, 10/25/2012,631,920
FRI - MID, 10/26/2012,322,4112
FRI - EVE, 10/26/2012,774,4105
SAT - MID, 10/27/2012,682,5577
SAT - EVE, 10/27/2012,282,9720
SUN - MID, 10/28/2012,661,7778
SUN - EVE, 10/28/2012,762,6001
MON - MID, 10/29/2012,280,7605
MON - EVE, 10/29/2012,488,6100
TUE - MID, 10/30/2012,135,8342
TUE - EVE, 10/30/2012,845,3673
WED - MID, 10/31/2012,680,9645
WED - EVE, 10/31/2012,240,8233
THU - MID, 11/1/2012,349,3441
THU - EVE, 11/1/2012,527,5156
FRI - MID, 11/2/2012,518,7233
FRI - EVE, 11/2/2012,856,4908
SAT - MID, 11/3/2012,547,398
SAT - EVE, 11/3/2012,292,5798
SUN - MID, 11/4/2012,85,8183
SUN - EVE, 11/4/2012,759,3610
MON - MID, 11/5/2012,206,4789
MON - EVE, 11/5/2012,373,685
TUE - MID, 11/6/2012,26,8349
TUE - EVE, 11/6/2012,675,1229
WED - MID, 11/7/2012,776,2173
WED - EVE, 11/7/2012,154,6204
THU - MID, 11/8/2012,253,5287
THU - EVE, 11/8/2012,302,6151
FRI - MID, 11/9/2012,476,5118
FRI - EVE, 11/9/2012,811,6063
SAT - MID, 11/10/2012,299,7169
SAT - EVE, 11/10/2012,802,3325
SUN - MID, 11/11/2012,84,9610
SUN - EVE, 11/11/2012,229,9167
MON - MID, 11/12/2012,615,1854
MON - EVE, 11/12/2012,663,8552
TUE - MID, 11/13/2012,402,8455
TUE - EVE, 11/13/2012,587,8565
WED - MID, 11/14/2012,271,1792
WED - EVE, 11/14/2012,163,5799
THU - MID, 11/15/2012,144,8775
THU - EVE, 11/15/2012,325,7412
FRI - MID, 11/16/2012,301,9560
FRI - EVE, 11/16/2012,825,4561
SAT - MID, 11/17/2012,294,8891
SAT - EVE, 11/17/2012,535,3084
SUN - MID, 11/18/2012,278,3776
SUN - EVE, 11/18/2012,351,7226
MON - MID, 11/19/2012,163,3628
MON - EVE, 11/19/2012,120,5423
TUE - MID, 11/20/2012,715,5713
TUE - EVE, 11/20/2012,137,6369
WED - MID, 11/21/2012,125,5100
WED - EVE, 11/21/2012,414,4163
THU - MID, 11/22/2012,239,881
THU - EVE, 11/22/2012,917,4157
FRI - MID, 11/23/2012,282,7845
FRI - EVE, 11/23/2012,601,7149
SAT - MID, 11/24/2012,242,8990
SAT - EVE, 11/24/2012,448,7917
SUN - MID, 11/25/2012,182,1998
SUN - EVE, 11/25/2012,951,2569
MON - MID, 11/26/2012,220,5671
MON - EVE, 11/26/2012,785,1256
TUE - MID, 11/27/2012,501,5546
TUE - EVE, 11/27/2012,652,3039
WED - MID, 11/28/2012,453,7720
WED - EVE, 11/28/2012,20,7810
THU - MID, 11/29/2012,225,1858
THU - EVE, 11/29/2012,108,5558
FRI - MID, 11/30/2012,281,5426
FRI - EVE, 11/30/2012,938,6751
SAT - MID, 12/1/2012,645,7269
SAT - EVE, 12/1/2012,361,6109
SUN - MID, 12/2/2012,13,9286
SUN - EVE, 12/2/2012,667,1915
MON - MID, 12/3/2012,865,3017
MON - EVE, 12/3/2012,284,2141
TUE - MID, 12/4/2012,0,2202
TUE - EVE, 12/4/2012,556,1413
WED - MID, 12/5/2012,790,5615
WED - EVE, 12/5/2012,272,6228
THU - MID, 12/6/2012,222,8203
THU - EVE, 12/6/2012,118,5312
FRI - MID, 12/7/2012,821,1809
FRI - EVE, 12/7/2012,303,4007
SAT - MID, 12/8/2012,291,1647
SAT - EVE, 12/8/2012,830,5723
SUN - MID, 12/9/2012,896,6052
SUN - EVE, 12/9/2012,121,633
MON - MID, 12/10/2012,961,3419
MON - EVE, 12/10/2012,550,4147
TUE - MID, 12/11/2012,22,2945
TUE - EVE, 12/11/2012,169,4266
WED - MID, 12/12/2012,679,9777
WED - EVE, 12/12/2012,257,2166
THU - MID, 12/13/2012,753,4864
THU - EVE, 12/13/2012,825,8486
